monster1,monster2,m1_win_pct,m2_win_pct,balance
Ape,Draft Horse,50.0,50.0,50.0
Assassin,Giant Constrictor Snake,50.0,50.0,50.0
Awakened Shrub,Stirge,50.0,50.0,50.0
Basilisk,Gelatinous Cube,50.0,50.0,50.0
Basilisk,Griffon,50.0,50.0,50.0
Berserker,Giant Constrictor Snake,50.0,50.0,50.0
Blink Dog,Drow,50.0,50.0,50.0
Bugbear,Mimic,50.0,50.0,50.0
Chuul,Minotaur,50.0,50.0,50.0
Clay Golem,Hezrou,50.0,50.0,50.0
Constrictor Snake,Elk,50.0,50.0,50.0
Darkmantle,Ghoul,50.0,50.0,50.0
Deer,Eagle,50.0,50.0,50.0
Eagle,Flying Snake,50.0,50.0,50.0
Elephant,"Vampire, Bat Form",50.0,50.0,50.0
Elk,Hobgoblin,50.0,50.0,50.0
Ettin,Salamander,50.0,50.0,50.0
Flying Snake,Giant Centipede,50.0,50.0,50.0
Flying Sword,Shadow,50.0,50.0,50.0
Ghoul,"Wererat, Human Form",50.0,50.0,50.0
Giant Bat,Reef Shark,50.0,50.0,50.0
Giant Frog,Sahuagin,50.0,50.0,50.0
Gibbering Mouther,Unicorn,50.0,50.0,50.0
Gibbering Mouther,"Weretiger, Human Form",50.0,50.0,50.0
Gray Ooze,Zombie,50.0,50.0,50.0
Ice Mephit,Panther,50.0,50.0,50.0
Imp,Panther,50.0,50.0,50.0
Killer Whale,"Vampire, Vampire Form",50.0,50.0,50.0
Knight,Ogre Zombie,50.0,50.0,50.0
Lich,Young Green Dragon,50.0,50.0,50.0
Lizardfolk,Reef Shark,50.0,50.0,50.0
Merrow,Polar Bear,50.0,50.0,50.0
Nightmare,"Weretiger, Hybrid Form",50.0,50.0,50.0
Nightmare,"Weretiger, Tiger Form",50.0,50.0,50.0
Owl,Poisonous Snake,50.0,50.0,50.0
Owl,Sprite,50.0,50.0,50.0
Riding Horse,Swarm of Bats,50.0,50.0,50.0
"Werebear, Human Form",Wyvern,50.0,50.0,50.0
"Wereboar, Boar Form","Weretiger, Human Form",50.0,50.0,50.0
"Wereboar, Hybrid Form","Weretiger, Human Form",50.0,50.0,50.0
Young Black Dragon,Young Green Dragon,50.0,50.0,50.0
Adult Copper Dragon,Behir,50.5,49.5,49.5
Air Elemental,Water Elemental,50.5,49.5,49.5
Archmage,Giant Octopus,50.5,49.5,49.5
Assassin,"Wereboar, Boar Form",49.5,50.5,49.5
Assassin,"Wereboar, Hybrid Form",49.5,50.5,49.5
Azer,Swarm of Quippers,50.5,49.5,49.5
Badger,Octopus,49.5,50.5,49.5
Bandit Captain,Griffon,50.5,49.5,49.5
